code,occupation,degree required,work experience required
17-2131,Materials engineers,Bachelor's degree,None
17-2141,Mechanical engineers,Bachelor's degree,None
17-2151,"Mining and geological engineers, including mining safety engineers",Bachelor's degree,None
17-2161,Nuclear engineers,Bachelor's degree,None
17-2171,Petroleum engineers,Bachelor's degree,None
17-2199,"Engineers, all other",Bachelor's degree,None
17-3011,Architectural and civil drafters,Associate's degree,None
17-3012,Electrical and electronics drafters,Associate's degree,None
17-3013,Mechanical drafters,Associate's degree,None
17-3019,"Drafters, all other",Associate's degree,None
17-3021,Aerospace engineering and operations technicians,Associate's degree,None
17-3022,Civil engineering technicians,Associate's degree,None
17-3023,Electrical and electronics engineering technicians,Associate's degree,None
17-3024,Electro-mechanical technicians,Associate's degree,None
17-3025,Environmental engineering technicians,Associate's degree,None
17-3026,Industrial engineering technicians,Associate's degree,None
17-3027,Mechanical engineering technicians,Associate's degree,None
17-3029,"Engineering technicians, except drafters, all other",Associate's degree,None
17-3031,Surveying and mapping technicians,High school diploma or equivalent,None
19-1011,Animal scientists,Bachelor's degree,None
19-1012,Food scientists and technologists,Bachelor's degree,None
19-1013,Soil and plant scientists,Bachelor's degree,None
19-1021,Biochemists and biophysicists,Doctoral or professional degree,None
19-1022,Microbiologists,Bachelor's degree,None
19-1023,Zoologists and wildlife biologists,Bachelor's degree,None
19-1029,"Biological scientists, all other",Bachelor's degree,None
19-1031,Conservation scientists,Bachelor's degree,None
19-1032,Foresters,Bachelor's degree,None
19-1041,Epidemiologists,Master's degree,None
19-1042,"Medical scientists, except epidemiologists",Doctoral or professional degree,None
19-1099,"Life scientists, all other",Bachelor's degree,None
19-2011,Astronomers,Doctoral or professional degree,None
19-2012,Physicists,Doctoral or professional degree,None
19-2021,Atmospheric and space scientists,Bachelor's degree,None
19-2031,Chemists,Bachelor's degree,None
19-2032,Materials scientists,Bachelor's degree,None
19-2041,"Environmental scientists and specialists, including health",Bachelor's degree,None
19-2042,"Geoscientists, except hydrologists and geographers",Bachelor's degree,None
19-2043,Hydrologists,Bachelor's degree,None
19-2099,"Physical scientists, all other",Bachelor's degree,None
19-3011,Economists,Master's degree,None
19-3022,Survey researchers,Master's degree,None
19-3031,"Clinical, counseling, and school psychologists",Doctoral or professional degree,None
19-3032,Industrial-organizational psychologists,Master's degree,None
19-3039,"Psychologists, all other",Master's degree,None
19-3041,Sociologists,Master's degree,None
19-3051,Urban and regional planners,Master's degree,None
19-3091,Anthropologists and archeologists,Master's degree,None
19-3092,Geographers,Bachelor's degree,None
19-3093,Historians,Master's degree,None
19-3094,Political scientists,Master's degree,None
19-3099,"Social scientists and related workers, all other",Bachelor's degree,None
19-4011,Agricultural and food science technicians,Associate's degree,None
19-4021,Biological technicians,Bachelor's degree,None
19-4031,Chemical technicians,Associate's degree,None
19-4041,Geological and petroleum technicians,Associate's degree,None
19-4051,Nuclear technicians,Associate's degree,None
19-4061,Social science research assistants,Bachelor's degree,None
19-4091,"Environmental science and protection technicians, including health",Associate's degree,None
19-4092,Forensic science technicians,Bachelor's degree,None
19-4093,Forest and conservation technicians,Associate's degree,None
19-4099,"Life, physical, and social science technicians, all other",Associate's degree,None
21-1012,"Educational, guidance, school, and vocational counselors",Master's degree,None
21-1013,Marriage and family therapists,Master's degree,None
21-1015,Rehabilitation counselors,Master's degree,None
21-1018,"Substance abuse, behavioral disorder, and mental health counselors",Bachelor's degree,None
21-1019,"Counselors, all other",Master's degree,None
21-1021,"Child, family, and school social workers",Bachelor's degree,None
21-1022,Healthcare social workers,Master's degree,None
21-1023,Mental health and substance abuse social workers,Master's degree,None
21-1029,"Social workers, all other",Bachelor's degree,None
21-1091,Health educators,Bachelor's degree,None
21-1092,Probation officers and correctional treatment specialists,Bachelor's degree,None
21-1093,Social and human service assistants,High school diploma or equivalent,None
21-1094,Community health workers,High school diploma or equivalent,None
21-1099,"Community and social service specialists, all other",Bachelor's degree,None
21-2011,Clergy,Bachelor's degree,None
21-2021,"Directors, religious activities and education",Bachelor's degree,Less than 5 years
21-2099,"Religious workers, all other",Bachelor's degree,None
23-1011,Lawyers,Doctoral or professional degree,None
23-1012,Judicial law clerks,Doctoral or professional degree,None
23-1021,"Administrative law judges, adjudicators, and hearing officers",Doctoral or professional degree,5 years or more
23-1022,"Arbitrators, mediators, and conciliators",Bachelor's degree,Less than 5 years
23-1023,"Judges, magistrate judges, and magistrates",Doctoral or professional degree,5 years or more
23-2011,Paralegals and legal assistants,Associate's degree,None
23-2091,Court reporters,Postsecondary nondegree award,None
23-2093,"Title examiners, abstractors, and searchers",High school diploma or equivalent,None
23-2099,"Legal support workers, all other",Associate's degree,None
25-1011,"Business teachers, postsecondary",Doctoral or professional degree,None
25-1021,"Computer science teachers, postsecondary",Doctoral or professional degree,None
25-1022,"Mathematical science teachers, postsecondary",Doctoral or professional degree,None
25-1031,"Architecture teachers, postsecondary",Doctoral or professional degree,None
25-1032,"Engineering teachers, postsecondary",Doctoral or professional degree,None
25-1041,"Agricultural sciences teachers, postsecondary",Doctoral or professional degree,None
25-1042,"Biological science teachers, postsecondary",Doctoral or professional degree,None
25-1043,"Forestry and conservation science teachers, postsecondary",Doctoral or professional degree,None
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",Doctoral or professional degree,None
25-1052,"Chemistry teachers, postsecondary",Doctoral or professional degree,None
25-1053,"Environmental science teachers, postsecondary",Doctoral or professional degree,None
25-1054,"Physics teachers, postsecondary",Doctoral or professional degree,None
25-1061,"Anthropology and archeology teachers, postsecondary",Doctoral or professional degree,None
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",Doctoral or professional degree,None
25-1063,"Economics teachers, postsecondary",Doctoral or professional degree,None
25-1064,"Geography teachers, postsecondary",Doctoral or professional degree,None
25-1065,"Political science teachers, postsecondary",Doctoral or professional degree,None
25-1066,"Psychology teachers, postsecondary",Doctoral or professional degree,None
25-1067,"Sociology teachers, postsecondary",Doctoral or professional degree,None
25-1069,"Social sciences teachers, postsecondary, all other",Doctoral or professional degree,None
25-1071,"Health specialties teachers, postsecondary",Doctoral or professional degree,Less than 5 years
25-1072,"Nursing instructors and teachers, postsecondary",Doctoral or professional degree,Less than 5 years
25-1081,"Education teachers, postsecondary",Doctoral or professional degree,Less than 5 years
25-1082,"Library science teachers, postsecondary",Doctoral or professional degree,None
25-1111,"Criminal justice and law enforcement teachers, postsecondary",Doctoral or professional degree,None
25-1112,"Law teachers, postsecondary",Doctoral or professional degree,Less than 5 years
25-1113,"Social work teachers, postsecondary",Doctoral or professional degree,None
25-1121,"Art, drama, and music teachers, postsecondary",Master's degree,None
25-1122,"Communications teachers, postsecondary",Doctoral or professional degree,None
25-1123,"English language and literature teachers, postsecondary",Doctoral or professional degree,None
25-1124,"Foreign language and literature teachers, postsecondary",Doctoral or professional degree,None
25-1125,"History teachers, postsecondary",Doctoral or professional degree,None
25-1126,"Philosophy and religion teachers, postsecondary",Doctoral or professional degree,None
25-1191,Graduate teaching assistants,Bachelor's degree,None
25-1192,"Home economics teachers, postsecondary",Master's degree,None
25-1193,"Recreation and fitness studies teachers, postsecondary",Doctoral or professional degree,None
25-1194,"Vocational education teachers, postsecondary",Bachelor's degree,Less than 5 years
25-1199,"Postsecondary teachers, all other",Doctoral or professional degree,None
25-2011,"Preschool teachers, except special education",Associate's degree,None
25-2012,"Kindergarten teachers, except special education",Bachelor's degree,None
25-2021,"Elementary school teachers, except special education",Bachelor's degree,None
25-2022,"Middle school teachers, except special and career/technical education",Bachelor's degree,None
25-2023,"Career/technical education teachers, middle school",Bachelor's degree,Less than 5 years
25-2031,"Secondary school teachers, except special and career/technical education",Bachelor's degree,None
25-2032,"Career/technical education teachers, secondary school",Bachelor's degree,Less than 5 years
25-2051,"Special education teachers, preschool",Bachelor's degree,None
25-2052,"Special education teachers, kindergarten and elementary school",Bachelor's degree,None
25-2053,"Special education teachers, middle school",Bachelor's degree,None
25-2054,"Special education teachers, secondary school",Bachelor's degree,None
25-2059,"Special education teachers, all other",Bachelor's degree,None
25-3011,Adult basic and secondary education and literacy teachers and instructors,Bachelor's degree,None
25-3021,Self-enrichment education teachers,High school diploma or equivalent,Less than 5 years
25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",Bachelor's degree,None
25-3098,Substitute Teachers,Bachelor's degree,None
25-4011,Archivists,Master's degree,None
25-4012,Curators,Master's degree,None
25-4013,Museum technicians and conservators,Bachelor's degree,None
25-4021,Librarians,Master's degree,None
25-4031,Library technicians,Postsecondary nondegree award,None
25-9011,Audio-visual and multimedia collections specialists,Bachelor's degree,Less than 5 years
25-9021,Farm and home management advisors,Master's degree,None
25-9031,Instructional coordinators,Master's degree,5 years or more
25-9041,Teacher assistants,"Some college, no degree",None
25-9099,"Education, training, and library workers, all other",Bachelor's degree,None
27-1011,Art directors,Bachelor's degree,5 years or more
27-1012,Craft artists,No formal educational credential,None
27-1013,"Fine artists, including painters, sculptors, and illustrators",Bachelor's degree,None
27-1014,Multimedia artists and animators,Bachelor's degree,None
27-1019,"Artists and related workers, all other",No formal educational credential,None
27-1021,Commercial and industrial designers,Bachelor's degree,None
27-1022,Fashion designers,Bachelor's degree,None
27-1023,Floral designers,High school diploma or equivalent,None
27-1024,Graphic designers,Bachelor's degree,None
27-1025,Interior designers,Bachelor's degree,None
27-1026,Merchandise displayers and window trimmers,High school diploma or equivalent,None
27-1027,Set and exhibit designers,Bachelor's degree,None
27-1029,"Designers, all other",Bachelor's degree,None
27-2011,Actors,"Some college, no degree",None
27-2012,Producers and directors,Bachelor's degree,Less than 5 years
27-2021,Athletes and sports competitors,No formal educational credential,None
27-2022,Coaches and scouts,Bachelor's degree,None
27-2023,"Umpires, referees, and other sports officials",High school diploma or equivalent,None
27-2031,Dancers,No formal educational credential,None
27-2032,Choreographers,High school diploma or equivalent,5 years or more
27-2041,Music directors and composers,Bachelor's degree,Less than 5 years
27-2042,Musicians and singers,No formal educational credential,None
27-2099,"Entertainers and performers, sports and related workers, all other",No formal educational credential,None
27-3011,Radio and television announcers,Bachelor's degree,None
27-3012,Public address system and other announcers,High school diploma or equivalent,None
27-3021,Broadcast news analysts,Bachelor's degree,None
27-3022,Reporters and correspondents,Bachelor's degree,None
27-3031,Public relations specialists,Bachelor's degree,None
27-3041,Editors,Bachelor's degree,Less than 5 years
27-3042,Technical writers,Bachelor's degree,Less than 5 years
27-3043,Writers and authors,Bachelor's degree,None
27-3091,Interpreters and translators,Bachelor's degree,None
27-3099,"Media and communication workers, all other",High school diploma or equivalent,None
27-4011,Audio and video equipment technicians,Postsecondary nondegree award,None
27-4012,Broadcast technicians,Associate's degree,None
27-4013,Radio operators,High school diploma or equivalent,None
27-4014,Sound engineering technicians,Postsecondary nondegree award,None
27-4021,Photographers,High school diploma or equivalent,None
27-4031,"Camera operators, television, video, and motion picture",Bachelor's degree,None
27-4032,Film and video editors,Bachelor's degree,None
27-4099,"Media and communication equipment workers, all other",High school diploma or equivalent,None
29-1011,Chiropractors,Doctoral or professional degree,None
29-1021,"Dentists, general",Doctoral or professional degree,None
29-1022,Oral and maxillofacial surgeons,Doctoral or professional degree,None
29-1023,Orthodontists,Doctoral or professional degree,None
29-1024,Prosthodontists,Doctoral or professional degree,None
29-1029,"Dentists, all other specialists",Doctoral or professional degree,None
29-1031,Dietitians and nutritionists,Bachelor's degree,None
29-1041,Optometrists,Doctoral or professional degree,None
29-1051,Pharmacists,Doctoral or professional degree,None
29-1061,Anesthesiologists,Doctoral or professional degree,None
29-1062,Family and general practitioners,Doctoral or professional degree,None
29-1063,"Internists, general",Doctoral or professional degree,None
29-1064,Obstetricians and gynecologists,Doctoral or professional degree,None
29-1065,"Pediatricians, general",Doctoral or professional degree,None
29-1066,Psychiatrists,Doctoral or professional degree,None
29-1067,Surgeons,Doctoral or professional degree,None
29-1069,"Physicians and surgeons, all other",Doctoral or professional degree,None
29-1071,Physician assistants,Master's degree,None
29-1081,Podiatrists,Doctoral or professional degree,None
29-1122,Occupational therapists,Master's degree,None
29-1123,Physical therapists,Doctoral or professional degree,None
29-1124,Radiation therapists,Associate's degree,None
29-1125,Recreational therapists,Bachelor's degree,None
29-1126,Respiratory therapists,Associate's degree,None
29-1127,Speech-language pathologists,Master's degree,None
29-1128,Exercise physiologists,Bachelor's degree,None
29-1129,"Therapists, all other",Bachelor's degree,None
29-1131,Veterinarians,Doctoral or professional degree,None
29-1141,Registered nurses,Bachelor's degree,None
29-1151,Nurse anesthetists,Master's degree,None
29-1161,Nurse midwives,Master's degree,None
29-1171,Nurse practitioners,Master's degree,None
29-1181,Audiologists,Doctoral or professional degree,None
29-1199,"Health diagnosing and treating practitioners, all other",Master's degree,None
29-2010,Clinical laboratory technologists and technicians,Bachelor's degree,None
29-2021,Dental hygienists,Associate's degree,None
29-2031,Cardiovascular technologists and technicians,Associate's degree,None
29-2032,Diagnostic medical sonographers,Associate's degree,None
29-2033,Nuclear medicine technologists,Associate's degree,None
29-2034,Radiologic technologists,Associate's degree,None
29-2035,Magnetic resonance imaging technologists,Associate's degree,Less than 5 years
29-2041,Emergency medical technicians and paramedics,Postsecondary nondegree award,None
29-2051,Dietetic technicians,Associate's degree,None
29-2052,Pharmacy technicians,High school diploma or equivalent,None
29-2053,Psychiatric technicians,Postsecondary nondegree award,Less than 5 years
29-2054,Respiratory therapy technicians,Associate's degree,None
29-2055,Surgical technologists,Postsecondary nondegree award,None
29-2056,Veterinary technologists and technicians,Associate's degree,None
29-2057,Ophthalmic medical technicians,Postsecondary nondegree award,None
29-2061,Licensed practical and licensed vocational nurses,Postsecondary nondegree award,None
29-2071,Medical records and health information technicians,Postsecondary nondegree award,None
29-2081,"Opticians, dispensing",High school diploma or equivalent,None
29-2091,Orthotists and prosthetists,Master's degree,None
29-2092,Hearing aid specialists,High school diploma or equivalent,None
29-2099,"Health technologists and technicians, all other",Postsecondary nondegree award,None
29-9011,Occupational health and safety specialists,Bachelor's degree,None
29-9012,Occupational health and safety technicians,High school diploma or equivalent,None
29-9091,Athletic trainers,Bachelor's degree,None
29-9092,Genetic counselors,Master's degree,None
29-9099,"Healthcare practitioners and technical workers, all other",Postsecondary nondegree award,None
31-1011,Home health aides,High school diploma or equivalent,None
31-1013,Psychiatric aides,High school diploma or equivalent,None
31-1014,Nursing assistants,Postsecondary nondegree award,None
31-1015,Orderlies,High school diploma or equivalent,None
31-2011,Occupational therapy assistants,Associate's degree,None
31-2012,Occupational therapy aides,High school diploma or equivalent,None
31-2021,Physical therapist assistants,Associate's degree,None
31-2022,Physical therapist aides,High school diploma or equivalent,None
31-9011,Massage therapists,Postsecondary nondegree award,None
31-9091,Dental assistants,Postsecondary nondegree award,None
31-9092,Medical assistants,Postsecondary nondegree award,None
31-9093,Medical equipment preparers,High school diploma or equivalent,None
31-9094,Medical transcriptionists,Postsecondary nondegree award,None
31-9095,Pharmacy aides,High school diploma or equivalent,None
31-9096,Veterinary assistants and laboratory animal caretakers,High school diploma or equivalent,None
31-9097,Phlebotomists,Postsecondary nondegree award,None
31-9099,"Healthcare support workers, all other",High school diploma or equivalent,None
33-1011,First-line supervisors of correctional officers,High school diploma or equivalent,Less than 5 years
33-1012,First-line supervisors of police and detectives,High school diploma or equivalent,Less than 5 years
33-1021,First-line supervisors of fire fighting and prevention workers,Postsecondary nondegree award,Less than 5 years
33-1099,"First-line supervisors of protective service workers, all other",High school diploma or equivalent,Less than 5 years
33-2011,Firefighters,Postsecondary nondegree award,None
33-2021,Fire inspectors and investigators,Postsecondary nondegree award,5 years or more
33-2022,Forest fire inspectors and prevention specialists,High school diploma or equivalent,Less than 5 years
33-3011,Bailiffs,High school diploma or equivalent,None
33-3012,Correctional officers and jailers,High school diploma or equivalent,None
33-3021,Detectives and criminal investigators,High school diploma or equivalent,Less than 5 years
33-3031,Fish and game wardens,Bachelor's degree,None
33-3041,Parking enforcement workers,High school diploma or equivalent,None
33-3051,Police and sheriff's patrol officers,High school diploma or equivalent,None
33-3052,Transit and railroad police,High school diploma or equivalent,None
33-9011,Animal control workers,High school diploma or equivalent,None
33-9021,Private detectives and investigators,High school diploma or equivalent,Less than 5 years
33-9031,Gaming surveillance officers and gaming investigators,High school diploma or equivalent,Less than 5 years
33-9032,Security guards,High school diploma or equivalent,None
33-9091,Crossing guards,No formal educational credential,None
33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",No formal educational credential,None
33-9093,Transportation security screeners,High school diploma or equivalent,None
33-9099,"Protective service workers, all other",High school diploma or equivalent,None
35-1011,Chefs and head cooks,High school diploma or equivalent,5 years or more
35-1012,First-line supervisors of food preparation and serving workers,High school diploma or equivalent,Less than 5 years
35-2011,"Cooks, fast food",No formal educational credential,None
35-2012,"Cooks, institution and cafeteria",No formal educational credential,None
35-2013,"Cooks, private household",Postsecondary nondegree award,Less than 5 years
35-2014,"Cooks, restaurant",No formal educational credential,Less than 5 years
35-2015,"Cooks, short order",No formal educational credential,None
35-2019,"Cooks, all other",No formal educational credential,None
35-2021,Food preparation workers,No formal educational credential,None
35-3011,Bartenders,No formal educational credential,None
35-3021,"Combined food preparation and serving workers, including fast food",No formal educational credential,None
35-3022,"Counter attendants, cafeteria, food concession, and coffee shop",No formal educational credential,None
35-3031,Waiters and waitresses,No formal educational credential,None
35-3041,"Food servers, nonrestaurant",No formal educational credential,None
35-9011,Dining room and cafeteria attendants and bartender helpers,No formal educational credential,None
35-9021,Dishwashers,No formal educational credential,None
35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",No formal educational credential,None
35-9099,"Food preparation and serving related workers, all other",No formal educational credential,None
37-1011,First-line supervisors of housekeeping and janitorial workers,High school diploma or equivalent,Less than 5 years
37-1012,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",High school diploma or equivalent,Less than 5 years
37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",No formal educational credential,None
37-2012,Maids and housekeeping cleaners,No formal educational credential,None
37-2019,"Building cleaning workers, all other",No formal educational credential,None
37-2021,Pest control workers,High school diploma or equivalent,None
37-3011,Landscaping and groundskeeping workers,No formal educational credential,None
37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",High school diploma or equivalent,None
37-3013,Tree trimmers and pruners,High school diploma or equivalent,None
37-3019,"Grounds maintenance workers, all other",No formal educational credential,None
39-1010,First-line supervisors of gaming workers,High school diploma or equivalent,Less than 5 years
39-1021,First-line supervisors of personal service workers,High school diploma or equivalent,Less than 5 years
39-2011,Animal trainers,High school diploma or equivalent,None
39-2021,Nonfarm animal caretakers,High school diploma or equivalent,None
39-3011,Gaming dealers,High school diploma or equivalent,None
39-3012,Gaming and sports book writers and runners,High school diploma or equivalent,None
39-3019,"Gaming service workers, all other",High school diploma or equivalent,None
39-3021,Motion picture projectionists,No formal educational credential,None
39-3031,"Ushers, lobby attendants, and ticket takers",No formal educational credential,None
39-3091,Amusement and recreation attendants,No formal educational credential,None
39-3092,Costume attendants,High school diploma or equivalent,None
39-3093,"Locker room, coatroom, and dressing room attendants",High school diploma or equivalent,None
39-3099,"Entertainment attendants and related workers, all other",High school diploma or equivalent,None
39-4011,Embalmers,Associate's degree,None
39-4021,Funeral attendants,High school diploma or equivalent,None
39-4031,"Morticians, undertakers, and funeral directors",Associate's degree,None
39-5011,Barbers,Postsecondary nondegree award,None
39-5012,"Hairdressers, hairstylists, and cosmetologists",Postsecondary nondegree award,None
39-5091,"Makeup artists, theatrical and performance",Postsecondary nondegree award,None
39-5092,Manicurists and pedicurists,Postsecondary nondegree award,None
39-5093,Shampooers,No formal educational credential,None
39-5094,Skincare specialists,Postsecondary nondegree award,None
39-6011,Baggage porters and bellhops,High school diploma or equivalent,None
39-6012,Concierges,High school diploma or equivalent,None
39-7010,Tour and travel guides,High school diploma or equivalent,None
39-9011,Childcare workers,High school diploma or equivalent,None
39-9021,Personal care aides,High school diploma or equivalent,None
39-9031,Fitness trainers and aerobics instructors,High school diploma or equivalent,None
39-9032,Recreation workers,High school diploma or equivalent,None
39-9041,Residential advisors,High school diploma or equivalent,None
39-9099,"Personal care and service workers, all other",High school diploma or equivalent,None
41-1011,First-line supervisors of retail sales workers,High school diploma or equivalent,Less than 5 years
41-1012,First-line supervisors of non-retail sales workers,High school diploma or equivalent,Less than 5 years
41-2011,Cashiers,No formal educational credential,None
41-2012,Gaming change persons and booth cashiers,No formal educational credential,None
41-2021,Counter and rental clerks,No formal educational credential,None
41-2022,Parts salespersons,No formal educational credential,None
41-2031,Retail salespersons,No formal educational credential,None
41-3011,Advertising sales agents,High school diploma or equivalent,None
41-3021,Insurance sales agents,High school diploma or equivalent,None
41-3031,"Securities, commodities, and financial services sales agents",Bachelor's degree,None
41-3041,Travel agents,High school diploma or equivalent,None
41-3099,"Sales representatives, services, all other",High school diploma or equivalent,None
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",Bachelor's degree,None
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",High school diploma or equivalent,None
41-9011,Demonstrators and product promoters,No formal educational credential,None
41-9012,Models,No formal educational credential,None
41-9021,Real estate brokers,High school diploma or equivalent,Less than 5 years
41-9022,Real estate sales agents,High school diploma or equivalent,None
41-9031,Sales engineers,Bachelor's degree,None
41-9041,Telemarketers,No formal educational credential,None
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",No formal educational credential,None
41-9099,"Sales and related workers, all other",High school diploma or equivalent,None
43-1011,First-line supervisors of office and administrative support workers,High school diploma or equivalent,Less than 5 years
43-2011,"Switchboard operators, including answering service",High school diploma or equivalent,None
43-2021,Telephone operators,High school diploma or equivalent,None
43-2099,"Communications equipment operators, all other",High school diploma or equivalent,None
43-3011,Bill and account collectors,High school diploma or equivalent,None
43-3021,Billing and posting clerks,High school diploma or equivalent,None
43-3031,"Bookkeeping, accounting, and auditing clerks","Some college, no degree",None
43-3041,Gaming cage workers,High school diploma or equivalent,None
43-3051,Payroll and timekeeping clerks,High school diploma or equivalent,None
43-3061,Procurement clerks,High school diploma or equivalent,None
43-3071,Tellers,High school diploma or equivalent,None
43-3099,"Financial clerks, all other",High school diploma or equivalent,None
43-4011,Brokerage clerks,High school diploma or equivalent,None
43-4021,Correspondence clerks,High school diploma or equivalent,None
43-4031,"Court, municipal, and license clerks",High school diploma or equivalent,None
43-4041,"Credit authorizers, checkers, and clerks",High school diploma or equivalent,None
