Occupation Code,Occupation Title,Annual Median Wage,Occupation Group
15-0000,Computer and Mathematical Occupations,88340,Computer and Mathematical Occupations
15-1200,Computer Occupations,88240,Computer and Mathematical Occupations
15-1210,Computer and Information Analysts,92360,Computer and Mathematical Occupations
15-1211,Computer Systems Analysts,90920,Computer and Mathematical Occupations
15-1212,Information Security Analysts,99730,Computer and Mathematical Occupations
15-1220,Computer and Information Research Scientists,122840,Computer and Mathematical Occupations
15-1221,Computer and Information Research Scientists,122840,Computer and Mathematical Occupations
15-1230,Computer Support Specialists,54760,Computer and Mathematical Occupations
15-1231,Computer Network Support Specialists,63460,Computer and Mathematical Occupations
15-1232,Computer User Support Specialists,52270,Computer and Mathematical Occupations
15-1240,Database and Network Administrators and Architects,91390,Computer and Mathematical Occupations
15-1241,Computer Network Architects,112690,Computer and Mathematical Occupations
15-1244,Network and Computer Systems Administrators,83510,Computer and Mathematical Occupations
15-1245,Database Administrators and Architects,93750,Computer and Mathematical Occupations
15-1250,"Software and Web Developers, Programmers, and Testers",102330,Computer and Mathematical Occupations
15-1251,Computer Programmers,86550,Computer and Mathematical Occupations
15-1256,Software Developers and Software Quality Assurance Analysts and Testers,107510,Computer and Mathematical Occupations
15-1257,Web Developers and Digital Interface Designers,73760,Computer and Mathematical Occupations
15-1290,Miscellaneous Computer Occupations,88550,Computer and Mathematical Occupations
15-1299,"Computer Occupations, All Other",88550,Computer and Mathematical Occupations
15-2000,Mathematical Science Occupations,90410,Computer and Mathematical Occupations
15-2010,Actuaries,108350,Computer and Mathematical Occupations
15-2011,Actuaries,108350,Computer and Mathematical Occupations
15-2020,Mathematicians,105030,Computer and Mathematical Occupations
15-2021,Mathematicians,105030,Computer and Mathematical Occupations
15-2030,Operations Research Analysts,84810,Computer and Mathematical Occupations
15-2031,Operations Research Analysts,84810,Computer and Mathematical Occupations
15-2040,Statisticians,91160,Computer and Mathematical Occupations
15-2041,Statisticians,91160,Computer and Mathematical Occupations
15-2098,"Data Scientists and Mathematical Science Occupations, All Other",94280,Computer and Mathematical Occupations
17-0000,Architecture and Engineering Occupations,81440,Architecture and Engineering Occupations
17-1000,"Architects, Surveyors, and Cartographers",74520,Architecture and Engineering Occupations
17-1010,"Architects, Except Naval",78890,Architecture and Engineering Occupations
17-1011,"Architects, Except Landscape and Naval",80750,Architecture and Engineering Occupations
17-1012,Landscape Architects,69360,Architecture and Engineering Occupations
17-1020,"Surveyors, Cartographers, and Photogrammetrists",63880,Architecture and Engineering Occupations
17-1021,Cartographers and Photogrammetrists,65470,Architecture and Engineering Occupations
17-1022,Surveyors,63420,Architecture and Engineering Occupations
17-2000,Engineers,94500,Architecture and Engineering Occupations
17-2010,Aerospace Engineers,116500,Architecture and Engineering Occupations
17-2011,Aerospace Engineers,116500,Architecture and Engineering Occupations
17-2020,Agricultural Engineers,80720,Architecture and Engineering Occupations
17-2021,Agricultural Engineers,80720,Architecture and Engineering Occupations
17-2030,Bioengineers and Biomedical Engineers,91410,Architecture and Engineering Occupations
17-2031,Bioengineers and Biomedical Engineers,91410,Architecture and Engineering Occupations
17-2040,Chemical Engineers,108770,Architecture and Engineering Occupations
17-2041,Chemical Engineers,108770,Architecture and Engineering Occupations
17-2050,Civil Engineers,87060,Architecture and Engineering Occupations
17-2051,Civil Engineers,87060,Architecture and Engineering Occupations
17-2060,Computer Hardware Engineers,117220,Architecture and Engineering Occupations
17-2061,Computer Hardware Engineers,117220,Architecture and Engineering Occupations
17-2070,Electrical and Electronics Engineers,101250,Architecture and Engineering Occupations
17-2071,Electrical Engineers,98530,Architecture and Engineering Occupations
17-2072,"Electronics Engineers, Except Computer",105570,Architecture and Engineering Occupations
17-2080,Environmental Engineers,88860,Architecture and Engineering Occupations
17-2081,Environmental Engineers,88860,Architecture and Engineering Occupations
17-2110,"Industrial Engineers, Including Health and Safety",88240,Architecture and Engineering Occupations
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",91410,Architecture and Engineering Occupations
17-2112,Industrial Engineers,88020,Architecture and Engineering Occupations
17-2120,Marine Engineers and Naval Architects,92400,Architecture and Engineering Occupations
17-2121,Marine Engineers and Naval Architects,92400,Architecture and Engineering Occupations
17-2130,Materials Engineers,93360,Architecture and Engineering Occupations
17-2131,Materials Engineers,93360,Architecture and Engineering Occupations
17-2140,Mechanical Engineers,88430,Architecture and Engineering Occupations
17-2141,Mechanical Engineers,88430,Architecture and Engineering Occupations
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",91160,Architecture and Engineering Occupations
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",91160,Architecture and Engineering Occupations
17-2160,Nuclear Engineers,113460,Architecture and Engineering Occupations
17-2161,Nuclear Engineers,113460,Architecture and Engineering Occupations
17-2170,Petroleum Engineers,137720,Architecture and Engineering Occupations
17-2171,Petroleum Engineers,137720,Architecture and Engineering Occupations
17-2190,Miscellaneous Engineers,99040,Architecture and Engineering Occupations
17-2199,"Engineers, All Other",99040,Architecture and Engineering Occupations
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",57690,Architecture and Engineering Occupations
17-3010,Drafters,56830,Architecture and Engineering Occupations
17-3011,Architectural and Civil Drafters,56340,Architecture and Engineering Occupations
17-3012,Electrical and Electronics Drafters,61530,Architecture and Engineering Occupations
17-3013,Mechanical Drafters,57060,Architecture and Engineering Occupations
17-3019,"Drafters, All Other",52830,Architecture and Engineering Occupations
17-3020,"Engineering Technologists and Technicians, Except Drafters",59620,Architecture and Engineering Occupations
17-3021,Aerospace Engineering and Operations Technologists and Technicians,66020,Architecture and Engineering Occupations
17-3022,Civil Engineering Technologists and Technicians,53410,Architecture and Engineering Occupations
17-3023,Electrical and Electronic Engineering Technologists and Technicians,65260,Architecture and Engineering Occupations
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,58350,Architecture and Engineering Occupations
17-3025,Environmental Engineering Technologists and Technicians,50620,Architecture and Engineering Occupations
17-3026,Industrial Engineering Technologists and Technicians,56550,Architecture and Engineering Occupations
17-3027,Mechanical Engineering Technologists and Technicians,56980,Architecture and Engineering Occupations
17-3030,Surveying and Mapping Technicians,45010,Architecture and Engineering Occupations
17-3031,Surveying and Mapping Technicians,45010,Architecture and Engineering Occupations
17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",62990,Architecture and Engineering Occupations
19-0000,"Life, Physical, and Social Science Occupations",68160,"Life, Physical, and Social Science Occupations"
19-1000,Life Scientists,78080,"Life, Physical, and Social Science Occupations"
19-1010,Agricultural and Food Scientists,65160,"Life, Physical, and Social Science Occupations"
19-1011,Animal Scientists,60300,"Life, Physical, and Social Science Occupations"
19-1012,Food Scientists and Technologists,68970,"Life, Physical, and Social Science Occupations"
19-1013,Soil and Plant Scientists,63200,"Life, Physical, and Social Science Occupations"
19-1020,Biological Scientists,79580,"Life, Physical, and Social Science Occupations"
19-1021,Biochemists and Biophysicists,94490,"Life, Physical, and Social Science Occupations"
19-1022,Microbiologists,75650,"Life, Physical, and Social Science Occupations"
19-1023,Zoologists and Wildlife Biologists,63270,"Life, Physical, and Social Science Occupations"
19-1029,"Biological Scientists, All Other",82220,"Life, Physical, and Social Science Occupations"
19-1030,Conservation Scientists and Foresters,62410,"Life, Physical, and Social Science Occupations"
19-1031,Conservation Scientists,62660,"Life, Physical, and Social Science Occupations"
19-1032,Foresters,61790,"Life, Physical, and Social Science Occupations"
19-1040,Medical Scientists,87290,"Life, Physical, and Social Science Occupations"
19-1041,Epidemiologists,70990,"Life, Physical, and Social Science Occupations"
19-1042,"Medical Scientists, Except Epidemiologists",88790,"Life, Physical, and Social Science Occupations"
19-1090,Miscellaneous Life Scientists,75910,"Life, Physical, and Social Science Occupations"
19-1099,"Life Scientists, All Other",75910,"Life, Physical, and Social Science Occupations"
19-2000,Physical Scientists,81270,"Life, Physical, and Social Science Occupations"
19-2010,Astronomers and Physicists,122220,"Life, Physical, and Social Science Occupations"
19-2011,Astronomers,114590,"Life, Physical, and Social Science Occupations"
19-2012,Physicists,122850,"Life, Physical, and Social Science Occupations"
19-2020,Atmospheric and Space Scientists,95380,"Life, Physical, and Social Science Occupations"
19-2021,Atmospheric and Space Scientists,95380,"Life, Physical, and Social Science Occupations"
19-2030,Chemists and Materials Scientists,78790,"Life, Physical, and Social Science Occupations"
19-2031,Chemists,77630,"Life, Physical, and Social Science Occupations"
19-2032,Materials Scientists,96810,"Life, Physical, and Social Science Occupations"
19-2040,Environmental Scientists and Geoscientists,75830,"Life, Physical, and Social Science Occupations"
19-2041,"Environmental Scientists and Specialists, Including Health",71360,"Life, Physical, and Social Science Occupations"
19-2042,"Geoscientists, Except Hydrologists and Geographers",92040,"Life, Physical, and Social Science Occupations"
19-2043,Hydrologists,81270,"Life, Physical, and Social Science Occupations"
19-2090,Miscellaneous Physical Scientists,109910,"Life, Physical, and Social Science Occupations"
19-2099,"Physical Scientists, All Other",109910,"Life, Physical, and Social Science Occupations"
19-3000,Social Scientists and Related Workers,80220,"Life, Physical, and Social Science Occupations"
19-3010,Economists,105020,"Life, Physical, and Social Science Occupations"
19-3011,Economists,105020,"Life, Physical, and Social Science Occupations"
19-3020,Survey Researchers,59170,"Life, Physical, and Social Science Occupations"
19-3022,Survey Researchers,59170,"Life, Physical, and Social Science Occupations"
19-3030,Psychologists,80370,"Life, Physical, and Social Science Occupations"
19-3031,"Clinical, Counseling, and School Psychologists",78200,"Life, Physical, and Social Science Occupations"
19-3032,Industrial-Organizational Psychologists,92880,"Life, Physical, and Social Science Occupations"
19-3039,"Psychologists, All Other",101790,"Life, Physical, and Social Science Occupations"
19-3040,Sociologists,83420,"Life, Physical, and Social Science Occupations"
19-3041,Sociologists,83420,"Life, Physical, and Social Science Occupations"
19-3050,Urban and Regional Planners,74350,"Life, Physical, and Social Science Occupations"
19-3051,Urban and Regional Planners,74350,"Life, Physical, and Social Science Occupations"
19-3090,Miscellaneous Social Scientists and Related Workers,81880,"Life, Physical, and Social Science Occupations"
19-3091,Anthropologists and Archeologists,63670,"Life, Physical, and Social Science Occupations"
19-3092,Geographers,81540,"Life, Physical, and Social Science Occupations"
19-3093,Historians,63680,"Life, Physical, and Social Science Occupations"
19-3094,Political Scientists,122220,"Life, Physical, and Social Science Occupations"
19-3099,"Social Scientists and Related Workers, All Other",83330,"Life, Physical, and Social Science Occupations"
19-4000,"Life, Physical, and Social Science Technicians",48230,"Life, Physical, and Social Science Occupations"
19-4020,Biological Technicians,45860,"Life, Physical, and Social Science Occupations"
19-4021,Biological Technicians,45860,"Life, Physical, and Social Science Occupations"
19-4030,Chemical Technicians,49260,"Life, Physical, and Social Science Occupations"
19-4031,Chemical Technicians,49260,"Life, Physical, and Social Science Occupations"
19-4040,Environmental Science and Geoscience Technicians,47760,"Life, Physical, and Social Science Occupations"
19-4042,"Environmental Science and Protection Technicians, Including Health",46540,"Life, Physical, and Social Science Occupations"
19-4045,Geological and Hydrologic Technicians,51130,"Life, Physical, and Social Science Occupations"
19-4050,Nuclear Technicians,82080,"Life, Physical, and Social Science Occupations"
19-4051,Nuclear Technicians,82080,"Life, Physical, and Social Science Occupations"
19-4060,Social Science Research Assistants,47510,"Life, Physical, and Social Science Occupations"
19-4061,Social Science Research Assistants,47510,"Life, Physical, and Social Science Occupations"
19-4070,Forest and Conservation Technicians,45500,"Life, Physical, and Social Science Occupations"
19-4071,Forest and Conservation Technicians,45500,"Life, Physical, and Social Science Occupations"
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",52090,"Life, Physical, and Social Science Occupations"
19-4092,Forensic Science Technicians,59150,"Life, Physical, and Social Science Occupations"
19-4099,"Life, Physical, and Social Science Technicians, All Other",50550,"Life, Physical, and Social Science Occupations"
19-5000,Occupational Health and Safety Specialists and Technicians,70480,"Life, Physical, and Social Science Occupations"
19-5010,Occupational Health and Safety Specialists and Technicians,70480,"Life, Physical, and Social Science Occupations"
19-5011,Occupational Health and Safety Specialists,74100,"Life, Physical, and Social Science Occupations"
19-5012,Occupational Health and Safety Technicians,51550,"Life, Physical, and Social Science Occupations"
21-0000,Community and Social Service Occupations,46090,Community and Social Service Occupations
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",46060,Community and Social Service Occupations
21-1010,Counselors,48780,Community and Social Service Occupations
21-1012,"Educational, Guidance, and Career Counselors and Advisors",57040,Community and Social Service Occupations
21-1013,Marriage and Family Therapists,49610,Community and Social Service Occupations
21-1015,Rehabilitation Counselors,35950,Community and Social Service Occupations
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",46240,Community and Social Service Occupations
21-1019,"Counselors, All Other",42930,Community and Social Service Occupations
21-1020,Social Workers,50470,Community and Social Service Occupations
21-1021,"Child, Family, and School Social Workers",47390,Community and Social Service Occupations
21-1022,Healthcare Social Workers,56750,Community and Social Service Occupations
21-1023,Mental Health and Substance Abuse Social Workers,46650,Community and Social Service Occupations
21-1029,"Social Workers, All Other",61230,Community and Social Service Occupations
21-1090,Miscellaneous Community and Social Service Specialists,39100,Community and Social Service Occupations
21-1091,Health Education Specialists,55220,Community and Social Service Occupations
21-1092,Probation Officers and Correctional Treatment Specialists,54290,Community and Social Service Occupations
21-1093,Social and Human Service Assistants,35060,Community and Social Service Occupations
21-1094,Community Health Workers,40360,Community and Social Service Occupations
21-1099,"Community and Social Service Specialists, All Other",43790,Community and Social Service Occupations
21-2000,Religious Workers,46880,Community and Social Service Occupations
21-2010,Clergy,50400,Community and Social Service Occupations
21-2011,Clergy,50400,Community and Social Service Occupations
21-2020,"Directors, Religious Activities and Education",43860,Community and Social Service Occupations
21-2021,"Directors, Religious Activities and Education",43860,Community and Social Service Occupations
21-2090,Miscellaneous Religious Workers,31630,Community and Social Service Occupations
21-2099,"Religious Workers, All Other",31630,Community and Social Service Occupations
23-0000,Legal Occupations,81820,Legal Occupations
23-1000,"Lawyers, Judges, and Related Workers",119970,Legal Occupations
23-1010,Lawyers and Judicial Law Clerks,120670,Legal Occupations
23-1011,Lawyers,122960,Legal Occupations
23-1012,Judicial Law Clerks,54010,Legal Occupations
23-1020,"Judges, Magistrates, and Other Judicial Workers",111080,Legal Occupations
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",97870,Legal Occupations
23-1022,"Arbitrators, Mediators, and Conciliators",63930,Legal Occupations
23-1023,"Judges, Magistrate Judges, and Magistrates",136910,Legal Occupations
23-2000,Legal Support Workers,51920,Legal Occupations
23-2010,Paralegals and Legal Assistants,51740,Legal Occupations
23-2011,Paralegals and Legal Assistants,51740,Legal Occupations
23-2090,Miscellaneous Legal Support Workers,52430,Legal Occupations
23-2093,"Title Examiners, Abstractors, and Searchers",48180,Legal Occupations
23-2099,"Legal Support Workers, All Other",58400,Legal Occupations
25-0000,Educational Instruction and Library Occupations,50790,Educational Instruction and Library Occupations
25-1000,Postsecondary Teachers,75440,Educational Instruction and Library Occupations
25-1010,"Business Teachers, Postsecondary",87200,Educational Instruction and Library Occupations
25-1011,"Business Teachers, Postsecondary",87200,Educational Instruction and Library Occupations
25-1020,"Math and Computer Science Teachers, Postsecondary",77710,Educational Instruction and Library Occupations
25-1021,"Computer Science Teachers, Postsecondary",85180,Educational Instruction and Library Occupations
25-1022,"Mathematical Science Teachers, Postsecondary",73690,Educational Instruction and Library Occupations
25-1030,"Engineering and Architecture Teachers, Postsecondary",99300,Educational Instruction and Library Occupations
25-1031,"Architecture Teachers, Postsecondary",87900,Educational Instruction and Library Occupations
25-1032,"Engineering Teachers, Postsecondary",101010,Educational Instruction and Library Occupations
25-1040,"Life Sciences Teachers, Postsecondary",83370,Educational Instruction and Library Occupations
25-1041,"Agricultural Sciences Teachers, Postsecondary",83260,Educational Instruction and Library Occupations
25-1042,"Biological Science Teachers, Postsecondary",83300,Educational Instruction and Library Occupations
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",85450,Educational Instruction and Library Occupations
25-1050,"Physical Sciences Teachers, Postsecondary",84730,Educational Instruction and Library Occupations
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",92040,Educational Instruction and Library Occupations
25-1052,"Chemistry Teachers, Postsecondary",79550,Educational Instruction and Library Occupations
25-1053,"Environmental Science Teachers, Postsecondary",82430,Educational Instruction and Library Occupations
25-1054,"Physics Teachers, Postsecondary",89590,Educational Instruction and Library Occupations
25-1060,"Social Sciences Teachers, Postsecondary",80020,Educational Instruction and Library Occupations
25-1061,"Anthropology and Archeology Teachers, Postsecondary",86220,Educational Instruction and Library Occupations
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",77070,Educational Instruction and Library Occupations
25-1063,"Economics Teachers, Postsecondary",104370,Educational Instruction and Library Occupations
25-1064,"Geography Teachers, Postsecondary",80520,Educational Instruction and Library Occupations
25-1065,"Political Science Teachers, Postsecondary",85930,Educational Instruction and Library Occupations
25-1066,"Psychology Teachers, Postsecondary",76620,Educational Instruction and Library Occupations
25-1067,"Sociology Teachers, Postsecondary",75290,Educational Instruction and Library Occupations
25-1069,"Social Sciences Teachers, Postsecondary, All Other",71530,Educational Instruction and Library Occupations
25-1070,"Health Teachers, Postsecondary",89910,Educational Instruction and Library Occupations
25-1071,"Health Specialties Teachers, Postsecondary",97320,Educational Instruction and Library Occupations
25-1072,"Nursing Instructors and Teachers, Postsecondary",74600,Educational Instruction and Library Occupations
25-1080,"Education and Library Science Teachers, Postsecondary",66000,Educational Instruction and Library Occupations
25-1081,"Education Teachers, Postsecondary",65510,Educational Instruction and Library Occupations
25-1082,"Library Science Teachers, Postsecondary",71410,Educational Instruction and Library Occupations
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",75580,Educational Instruction and Library Occupations
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",62860,Educational Instruction and Library Occupations
25-1112,"Law Teachers, Postsecondary",113530,Educational Instruction and Library Occupations
25-1113,"Social Work Teachers, Postsecondary",72070,Educational Instruction and Library Occupations
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",70550,Educational Instruction and Library Occupations
25-1121,"Art, Drama, and Music Teachers, Postsecondary",69530,Educational Instruction and Library Occupations
25-1122,"Communications Teachers, Postsecondary",70630,Educational Instruction and Library Occupations
25-1123,"English Language and Literature Teachers, Postsecondary",68490,Educational Instruction and Library Occupations
25-1124,"Foreign Language and Literature Teachers, Postsecondary",69990,Educational Instruction and Library Occupations
25-1125,"History Teachers, Postsecondary",75170,Educational Instruction and Library Occupations
25-1126,"Philosophy and Religion Teachers, Postsecondary",75240,Educational Instruction and Library Occupations
25-1190,Miscellaneous Postsecondary Teachers,62040,Educational Instruction and Library Occupations
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",76480,Educational Instruction and Library Occupations
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",64380,Educational Instruction and Library Occupations
25-1194,"Career/Technical Education Teachers, Postsecondary",54620,Educational Instruction and Library Occupations
25-1199,"Postsecondary Teachers, All Other",68970,Educational Instruction and Library Occupations
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",58050,Educational Instruction and Library Occupations
25-2010,Preschool and Kindergarten Teachers,34630,Educational Instruction and Library Occupations
25-2011,"Preschool Teachers, Except Special Education",30520,Educational Instruction and Library Occupations
25-2012,"Kindergarten Teachers, Except Special Education",56850,Educational Instruction and Library Occupations
25-2020,Elementary and Middle School Teachers,59670,Educational Instruction and Library Occupations
25-2021,"Elementary School Teachers, Except Special Education",59670,Educational Instruction and Library Occupations
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",59660,Educational Instruction and Library Occupations
25-2023,"Career/Technical Education Teachers, Middle School",60800,Educational Instruction and Library Occupations
25-2030,Secondary School Teachers,61660,Educational Instruction and Library Occupations
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",61660,Educational Instruction and Library Occupations
25-2032,"Career/Technical Education Teachers, Secondary School",61710,Educational Instruction and Library Occupations
25-2050,Special Education Teachers,61040,Educational Instruction and Library Occupations
25-2051,"Special Education Teachers, Preschool",60000,Educational Instruction and Library Occupations
25-2052,"Special Education Teachers, Kindergarten and Elementary School",60460,Educational Instruction and Library Occupations
25-2057,"Special Education Teachers, Middle School",61440,Educational Instruction and Library Occupations
25-2058,"Special Education Teachers, Secondary School",61710,Educational Instruction and Library Occupations
25-2059,"Special Education Teachers, All Other",61190,Educational Instruction and Library Occupations
25-3000,Other Teachers and Instructors,33140,Educational Instruction and Library Occupations
25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",54350,Educational Instruction and Library Occupations
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",54350,Educational Instruction and Library Occupations
25-3020,Self-Enrichment Teachers,39190,Educational Instruction and Library Occupations
25-3021,Self-Enrichment Teachers,39190,Educational Instruction and Library Occupations
25-3030,"Substitute Teachers, Short-Term",28790,Educational Instruction and Library Occupations
25-3031,"Substitute Teachers, Short-Term",28790,Educational Instruction and Library Occupations
25-3097,"Tutors and Teachers and Instructors, All Other",39350,Educational Instruction and Library Occupations
